sample_id,model,language,mean_sim
809,water,ar,0.8835359811782837
818,earth,th,0.8830263018608093
818,fire,th,0.9946510195732117
818,global,th,0.7769774198532104
818,water,th,0.8311747312545776
837,earth,zh,0.8599144220352173
837,fire,zh,0.7391771078109741
837,global,zh,0.9750813245773315
837,water,zh,0.6802197694778442
838,earth,zh,0.9390159845352173
838,fire,zh,0.9726260900497437
838,global,zh,0.9756180047988892
838,water,zh,0.9526495933532715
840,earth,th,0.8724455833435059
840,fire,th,0.8398114442825317
840,global,th,0.937861442565918
840,water,th,0.9122895002365112
844,earth,ar,0.7320417165756226
844,fire,ar,0.6970745325088501
844,global,ar,0.9173164367675781
844,water,ar,0.7792882919311523
847,earth,ru,0.855164647102356
847,earth,zh,0.8379828333854675
847,fire,ru,0.9359307885169983
847,fire,zh,0.8046844601631165
847,global,ru,0.8547584414482117
847,global,zh,0.7378464937210083
847,water,ru,0.8743618130683899
847,water,zh,0.7519832253456116
849,earth,ru,0.7330949306488037
849,fire,ru,0.7842843532562256
849,global,ru,0.8843847513198853
849,water,ru,0.7414101362228394
851,earth,zh,0.7609485387802124
851,fire,zh,0.7866181135177612
851,global,zh,0.8254569172859192
851,water,zh,0.7232145071029663
857,earth,de,0.9598966836929321
857,fire,de,0.9630171060562134
857,global,de,0.9999998807907104
857,water,de,0.965960681438446
860,earth,ar,0.952465832233429
860,fire,ar,0.9260360598564148
860,global,ar,0.9430920481681824
860,water,ar,0.9702013731002808
864,earth,ru,0.9590775370597839
864,fire,ru,0.9875555038452148
864,global,ru,0.9982221722602844
864,water,ru,0.9590775370597839
865,earth,th,0.6936584711074829
865,earth,zh,0.7481583952903748
865,fire,th,0.6182597875595093
865,fire,zh,0.7895340323448181
865,global,th,0.8452455401420593
865,global,zh,0.8059946894645691
865,water,th,0.660744845867157
865,water,zh,0.803551197052002
866,earth,de,0.9983636736869812
866,fire,de,0.997545599937439
866,global,de,0.9999998211860657
866,water,de,0.997545599937439
867,earth,en,0.8511942028999329
867,fire,en,0.8289608955383301
867,global,en,0.8949519395828247
867,water,en,0.7962621450424194
869,earth,ar,0.848654568195343
869,fire,ar,0.900901734828949
869,global,ar,0.9810578227043152
869,water,ar,0.7867129445075989
874,earth,ar,1.000000238418579
874,fire,ar,1.000000238418579
874,global,ar,0.9999998211860657
874,water,ar,1.000000238418579
880,earth,zh,0.9757197499275208
880,fire,zh,0.9034570455551147
880,global,zh,0.8818045854568481
880,water,zh,0.898116946220398
893,earth,zh,0.9488805532455444
893,fire,zh,0.959040641784668
893,global,zh,0.7306442260742188
893,water,zh,0.8420069813728333
894,global,ar,0.9999998807907104
896,earth,ar,0.9999998211860657
896,fire,ar,0.9999998211860657
896,global,ar,0.9334965944290161
896,water,ar,0.9885698556900024
897,earth,th,0.6430797576904297
897,fire,th,0.6223484873771667
897,global,th,0.9086823463439941
897,water,th,0.7033053636550903
898,earth,zh,0.9613768458366394
898,fire,zh,0.9623187184333801
898,global,zh,0.8589274287223816
898,water,zh,0.9604032635688782
905,earth,de,0.9827769994735718
905,fire,de,0.9903068542480469
905,global,de,0.9060355424880981
905,water,de,0.820290744304657
909,earth,de,0.7004634141921997
909,earth,th,0.6289461851119995
909,fire,de,0.7433730363845825
909,fire,th,0.824745774269104
909,global,de,0.6581758260726929
909,global,th,0.7178324460983276
909,water,de,0.7989676594734192
909,water,th,0.7599731683731079
915,earth,zh,0.9999998211860657
915,fire,zh,0.9999998211860657
915,global,zh,0.9999998211860657
915,water,zh,0.9999998211860657
917,earth,ru,0.937829315662384
917,earth,zh,0.9068540334701538
917,fire,ru,0.9470020532608032
917,fire,zh,0.9069790840148926
917,global,ru,0.9365602731704712
917,global,zh,0.9999998211860657
917,water,ru,0.9287073016166687
917,water,zh,0.9069086909294128
919,earth,zh,0.914498507976532
919,fire,zh,0.887053370475769
919,global,zh,0.5200525522232056
919,water,zh,0.7812495231628418
922,earth,th,0.8550884127616882
922,fire,th,0.8837693333625793
922,global,th,0.8952521085739136
922,water,th,0.8252794742584229
929,earth,de,0.9612709283828735
929,fire,de,0.9708065986633301
929,global,de,0.99223792552948
929,water,de,0.9452842473983765
933,earth,th,0.8038094639778137
933,fire,th,0.7846997380256653
933,global,th,0.6963605284690857
933,water,th,0.6280215978622437
934,earth,ru,0.991777241230011
934,earth,th,0.9249151349067688
934,fire,ru,0.9839407801628113
934,fire,th,0.8941395878791809
934,global,ru,0.9996814727783203
934,global,th,0.952483057975769
934,water,ru,0.9862571954727173
934,water,th,0.8965334892272949
939,earth,ar,0.8150373697280884
939,fire,ar,0.8892086148262024
939,global,ar,0.9349914789199829
939,water,ar,0.7774097919464111
946,earth,en,0.7661610841751099
946,fire,en,0.727901816368103
946,global,en,0.8822689056396484
946,water,en,0.7834981679916382
950,earth,ar,0.8410928845405579
950,fire,ar,0.920456051826477
950,global,ar,0.961067795753479
950,water,ar,0.799254298210144
952,earth,ar,0.9759435653686523
952,fire,ar,0.9794442057609558
952,global,ar,0.9755145311355591
952,water,ar,0.9687091112136841
953,earth,ru,0.9194475412368774
953,fire,ru,0.9122875928878784
953,global,ru,0.8988542556762695
953,water,ru,0.9688183069229126
955,earth,de,0.8499849438667297
955,fire,de,0.9115073084831238
955,global,de,0.8791119456291199
955,water,de,0.9230046272277832
961,earth,de,0.927496612071991
961,earth,zh,0.9479808807373047
961,fire,de,0.9062666893005371
