sample_id,model,rep,lang1,lang2,similarity
378,earth,3,de,ru,0.7247000932693481
378,earth,4,de,ru,0.745603084564209
378,fire,0,de,ru,0.7585436701774597
378,fire,1,de,ru,0.7316838502883911
378,fire,2,de,ru,0.6473617553710938
378,fire,3,de,ru,0.7325612306594849
378,fire,4,de,ru,0.7872492074966431
378,global,0,de,ru,0.6899795532226562
378,global,1,de,ru,0.7649956941604614
378,global,2,de,ru,0.7563713788986206
378,global,3,de,ru,0.7948163747787476
378,global,4,de,ru,0.6380307674407959
378,water,0,de,ru,0.7231553792953491
378,water,1,de,ru,0.7509065866470337
378,water,2,de,ru,0.6904360055923462
378,water,3,de,ru,0.7912324070930481
378,water,4,de,ru,0.6883566379547119
381,earth,0,en,ru,0.7375259399414062
381,earth,1,en,ru,0.47665727138519287
381,earth,2,en,ru,0.392292857170105
381,earth,3,en,ru,0.7756058573722839
381,earth,4,en,ru,0.6090342998504639
381,fire,0,en,ru,0.6682237982749939
381,fire,1,en,ru,0.47665727138519287
381,fire,2,en,ru,0.3912584185600281
381,fire,3,en,ru,0.5143065452575684
381,fire,4,en,ru,0.6997328996658325
381,global,0,en,ru,0.6498452425003052
381,global,1,en,ru,0.6650194525718689
381,global,2,en,ru,0.7408486008644104
381,global,3,en,ru,0.4281320869922638
381,global,4,en,ru,0.6122990846633911
381,water,0,en,ru,0.5758992433547974
381,water,1,en,ru,0.47410231828689575
381,water,2,en,ru,0.39739853143692017
381,water,3,en,ru,0.39676639437675476
381,water,4,en,ru,0.7225790023803711
411,earth,0,ar,zh,0.6340978145599365
411,earth,1,ar,zh,0.6350034475326538
411,earth,2,ar,zh,0.4897313714027405
411,earth,3,ar,zh,0.688566267490387
411,earth,4,ar,zh,0.5422817468643188
411,fire,0,ar,zh,0.5899975299835205
411,fire,1,ar,zh,0.5531501770019531
411,fire,2,ar,zh,0.612923264503479
411,fire,3,ar,zh,0.621859073638916
411,fire,4,ar,zh,0.6143561601638794
411,global,0,ar,zh,0.4421599805355072
411,global,1,ar,zh,0.49473220109939575
411,global,2,ar,zh,0.600433886051178
411,global,3,ar,zh,0.5413155555725098
411,global,4,ar,zh,0.6291799545288086
411,water,0,ar,zh,0.5435822606086731
411,water,1,ar,zh,0.5602420568466187
411,water,2,ar,zh,0.4930053651332855
411,water,3,ar,zh,0.5314339399337769
411,water,4,ar,zh,0.517886221408844
475,earth,0,de,zh,0.9150960445404053
475,earth,1,de,zh,0.9150960445404053
475,earth,2,de,zh,0.9150960445404053
475,earth,3,de,zh,0.9150960445404053
475,earth,4,de,zh,0.9150959253311157
475,fire,0,de,zh,0.9150960445404053
475,fire,1,de,zh,0.9675008058547974
475,fire,2,de,zh,0.9675008058547974
475,fire,3,de,zh,0.9675008058547974
475,fire,4,de,zh,0.9675008058547974
475,global,0,de,zh,0.8610831499099731
475,global,1,de,zh,0.17654234170913696
475,global,2,de,zh,0.8209568858146667
475,global,3,de,zh,0.15736401081085205
475,global,4,de,zh,0.7793952822685242
475,water,0,de,zh,0.9675008058547974
475,water,1,de,zh,0.9341676235198975
475,water,2,de,zh,0.9675008058547974
